ClusterID,Treatment,n_participants,YP_stunting_24m,YP_cog_composite_24m,YP_lang_composite_24m,YP_motor_composite_24m,YP_se_composite_24m,YP_ab_composite_24m,YS_haz06_24m,YS_diet_diversity_24m,YS_caregiver_child_interaction_24m,X_age_0m,X_hh_members_cat_0m,X_wealth_quintile_0m,X_distance_0m,X_cluster_population_0m,X_haz_0m,X_waz_0m,X_whz_0m,X_SRQ_0m,X_sex_0m,X_bornearly_0m,X_mother_age_cat_0m,X_father_primary_0m,X_mother_primary_0m
9,1,12,0.16666666666666666,81.25,85.25,85.75,73.33333333333333,86.83333333333333,-1.85,2.3333333333333335,0.7361111111111112,36.5,1.5,2.6666666666666665,25,975,-2.4183333333333334,0.016666666666666673,2.024166666666667,1.1666666666666667,0.5,0.16666666666666666,1,0.5833333333333334,0.5
10,0,7,0.14285714285714285,87.14285714285714,99.28571428571429,97.71428571428571,75,88.28571428571429,-1.5585714285714285,2.5714285714285716,0.6666666666666666,36.42857142857143,2,2.4285714285714284,7,970,-2.0585714285714287,-1.3242857142857143,-0.14428571428571432,4.333333333333333,0.14285714285714285,0.42857142857142855,3,1,0.2857142857142857
11,0,5,0.8,84,91.4,93.4,72,83.2,-2.432,1.8,0.43333333333333335,35.8,2,3.4,13,830,-2.514,-0.14999999999999997,1.85,6,0.6,0.6,3,1,0.4
12,1,15,0.06666666666666667,85,94.13333333333334,96.2,73.66666666666667,80.46666666666667,-1.4106666666666667,2.8666666666666667,0.6333333333333333,36.93333333333333,1.8666666666666667,3.6,7,1103,-2.036,0.05466666666666667,1.6086666666666667,0.8,0.4,0.07142857142857142,2,0.7333333333333333,0.6666666666666666
13,0,11,0.36363636363636365,80.45454545454545,89.36363636363636,88.54545454545455,75.45454545454545,80.72727272727273,-1.5127272727272727,2.090909090909091,0.5303030303030303,37.63636363636363,2.4444444444444446,4,0,999,-2.208181818181818,-0.8736363636363637,0.5845454545454546,6,0.5454545454545454,0.09090909090909091,2,0.7272727272727273,0.8181818181818182
14,1,17,0.17647058823529413,84.41176470588235,91.70588235294117,95.76470588235294,73.23529411764706,78.94117647058823,-1.2605882352941176,2.0588235294117645,0.6274509803921569,37.23529411764706,2,2.9411764705882355,5,1309,-1.9966666666666666,-1.8688235294117648,-1.1433333333333333,4.8125,0.47058823529411764,0.1875,1,0.6470588235294118,0.5294117647058824
15,1,8,0.14285714285714285,87.14285714285714,87.42857142857143,109.42857142857143,75.71428571428571,83.57142857142857,-1.4642857142857142,2,0.375,37.142857142857146,2,4,8,905,-1.4157142857142857,-1.0542857142857143,-0.27,4.25,0.5,0.25,2,0.75,0.75
16,0,11,0.45454545454545453,81.81818181818181,87.0909090909091,89.81818181818181,70.45454545454545,73.36363636363636,-2.1827272727272726,2.5454545454545454,0.5,36.81818181818182,2.1818181818181817,3.727272727272727,30,776,-1.929,-1.24,0.091,9.090909090909092,0.5454545454545454,0.09090909090909091,1,0.9090909090909091,0.6363636363636364
16,0,11,0.45454545454545453,81.81818181818181,87.0909090909091,89.81818181818181,70.45454545454545,73.36363636363636,-2.1827272727272726,2.5454545454545454,0.5,36.81818181818182,2.1818181818181817,3.727272727272727,30,776,-1.929,-1.24,0.091,9.090909090909092,0.5454545454545454,0.09090909090909091,3,0.9090909090909091,0.6363636363636364
17,1,17,0.23529411764705882,85.88235294117646,90.94117647058823,91.3529411764706,72.05882352941177,74.88235294117646,-1.5194117647058825,2.8823529411764706,0.6764705882352942,38,2.0588235294117645,3.8823529411764706,20,881,-1.7523529411764707,-0.7911764705882353,0.2664705882352941,6.4,0.35294117647058826,0.23529411764705882,1,1,0.8235294117647058
