ClusterID,Treatment,n_participants,YP_delta_SBP_12m,pre_YP_SBP_6m,YS_BP_control_12m,X_SBP_0m,X_DBP_0m,X_CV_Risk_0m,X_BMI_0m,X_BMI_Class_0m,X_PhysAct_0m,X_Age_0m,X_Gender_0m,X_EduLevel_0m,X_EmpStatus_0m,X_Literacy_0m,X_Smoking_0m,X_Cohort_0m,X_RuralUrban_0m,X_Doctors_0m,X_Nurses_0m
17,1,26,-13.413199999999998,-17.424230769230768,0.46153846153846156,154.69307692307692,93.47461538461539,1)  <10%,25.87181818181818,2,7613.846153846154,54.23076923076923,0.5384615384615384,Junior Secondary Schooling (JSS) (Grades 7-8),0.7692307692307693,0.4230769230769231,4,1,1,0,25
18,1,26,-17.36318181818182,-18.73,0.5,160.87192307692308,89.15384615384616,1)  <10%,23.452777777777776,2,7133.846153846154,63.61538461538461,0.6538461538461539,No Schooling,0.6923076923076923,0.44,4,1,1,1,38
19,1,23,-19.9325,-22.572222222222226,0.6,156.53565217391304,92.81173913043479,1)  <10%,26.275294117647057,3,6960,51.608695652173914,0.5652173913043478,Junior Secondary Schooling (JSS) (Grades 7-8),0.8260869565217391,0.5652173913043478,4,1,1,4,108
20,1,25,-17.379090909090905,-24.333333333333332,0.4090909090909091,157.7596,91.5732,1)  <10%,24.361176470588234,3,8882.4,56.8,0.36,No Schooling,0.84,0.44,4,1,1,2,55
21,1,23,-15.784705882352938,-11.726470588235292,0.5,152.1595652173913,87.46391304347826,1)  <10%,22.833846153846153,2,8784.347826086956,57.21739130434783,0.6521739130434783,No Schooling,0.8181818181818182,0.17391304347826086,4,2,0,0,18
22,1,24,-14.72347826086957,-17.29352941176471,0.43478260869565216,155.41541666666666,93.1525,1)  <10%,24.141000000000002,2,7395,56.375,0.5833333333333334,Junior Secondary Schooling (JSS) (Grades 7-8),0.75,0.4090909090909091,4,2,0,0,35
23,1,19,-25.24578947368421,-22.711333333333332,0.8421052631578947,156.75473684210527,86.93,1)  <10%,24.022,3,10711.578947368422,60.05263157894737,0.42105263157894735,Secondary School (Grades 9-11),0.5263157894736842,0.631578947368421,4,2,0,7,155
24,1,17,-17.855714285714292,-14.722499999999998,0.5,154.51,86.01941176470588,1)  <10%,22.885,2,5965.882352941177,63.294117647058826,0.5882352941176471,Junior Secondary Schooling (JSS) (Grades 7-8),0.4117647058823529,0.29411764705882354,4,2,0,4,113
24,1,17,-17.855714285714292,-14.722499999999998,0.5,154.51,86.01941176470588,1)  <10%,22.885,2,5965.882352941177,63.294117647058826,0.5882352941176471,No Schooling,0.4117647058823529,0.29411764705882354,4,2,0,4,113
25,1,25,-19.180833333333332,-21.501999999999995,0.5,157.454,87.9864,1)  <10%,22.423333333333332,2,6519.2,57.32,0.64,Junior Secondary Schooling (JSS) (Grades 7-8),0.6842105263157895,0.44,4,3,0,2,180
26,1,17,-15.868666666666659,-16.389999999999997,0.3333333333333333,157.00058823529412,86.99882352941177,1)  <10%,20.768,1,3910.5882352941176,64.11764705882354,1,No Schooling,0.7058823529411765,0,4,3,0,1,78
26,1,17,-15.868666666666659,-16.389999999999997,0.3333333333333333,157.00058823529412,86.99882352941177,1)  <10%,20.768,2,3910.5882352941176,64.11764705882354,1,No Schooling,0.7058823529411765,0,4,3,0,1,78
27,1,18,-24.85785714285714,-19.0625,0.5714285714285714,158.53666666666666,85.66666666666667,1)  <10%,24.090769230769233,2,4772.444444444444,57.388888888888886,0.7222222222222222,No Schooling,0.5625,0.3333333333333333,4,3,0,0,28
28,1,21,-19.148333333333333,-16.6175,0.5555555555555556,154.28571428571428,83.57095238095238,1)  <10%,NA,NA,3832.3809523809523,63.904761904761905,0.42857142857142855,Junior Secondary Schooling (JSS) (Grades 7-8),0.7368421052631579,0.42857142857142855,4,3,0,0,20
28,1,21,-19.148333333333333,-16.6175,0.5555555555555556,154.28571428571428,83.57095238095238,1)  <10%,NA,NA,3832.3809523809523,63.904761904761905,0.42857142857142855,No Schooling,0.7368421052631579,0.42857142857142855,4,3,0,0,20
29,1,31,-27.693461538461534,-23.871923076923075,0.6923076923076923,162.6451612903226,90.68774193548387,1)  <10%,23.19923076923077,2,6134.193548387097,61.67741935483871,0.6451612903225806,No Schooling,0.46153846153846156,0.3333333333333333,4,4,1,2,96
30,1,22,-25.476190476190478,-24.917,0.6666666666666666,156.83318181818183,88.03045454545455,1)  <10%,21.180714285714284,2,6067.272727272727,61.40909090909091,0.7272727272727273,No Schooling,0.8823529411764706,0.045454545454545456,4,4,0,3,140
31,1,25,-21.36125,-14.869999999999997,0.5652173913043478,153.5736,87.9064,1)  <10%,24.801739130434783,2,4948.8,56.2,0.6,Junior Secondary Schooling (JSS) (Grades 7-8),0.6818181818181818,0.4166666666666667,4,4,0,0,60
32,1,26,-17.104210526315793,-7.128888888888891,0.47368421052631576,158.23038461538462,88.205,1)  <10%,20.531333333333333,1,5086.153846153846,63.88461538461539,0.8461538461538461,No Schooling,0.2222222222222222,0.19230769230769232,4,4,0,0,15
