ClusterID,Treatment,n_participants,YP_HAZ_36m,YP_Stunted_36m,YP_MDAT_GM_Z_36m,YP_MDAT_FM_Z_36m,YP_MDAT_LANG_Z_36m,YP_MDAT_SOC_Z_36m,YP_SRT_36m,YP_AbsGamma_36m,YP_TotalPower_36m,YP_RelGamma_36m,pre_YP_SRT_9m,pre_YP_SRT_17m,pre_YP_AbsGamma_9m,pre_YP_AbsGamma_17m,pre_YP_TotalPower_9m,pre_YP_TotalPower_17m,pre_YP_RelGamma_9m,pre_YP_RelGamma_17m,YS_DD_36m,YS_MICS_36m,X_Caregiver_Age_0m,X_Caregiver_Matric_0m,X_Wealth_Z_0m,X_Wealth_Q_0m,X_ChildGrant_0m,X_Siblings_0m,X_Facilities_0m,X_WBOTs_0m,X_CHWs_0m,X_PHCU5_0m,X_CHW_Age_0m,X_CHW_Educ_0m,X_CHW_Tenure_0m
12,0,6,-0.9766666666666667,0,0.9145522840384447,0.13301108827631763,-0.445922124417458,1.5492440115983466,NA,NA,NA,NA,359.59,388.51999,-1.5882025,-0.66967559,-0.65450126,0.10133043,0.1538202,0.18099685,5.666666666666667,1.3333333333333333,3.3333333333333335,0.3333333333333333,0.06710677125833439,3,0.16666666666666666,0.6666666666666666,0,3,9,842,43.4,0.5,7.2
13,0,44,-0.38727272727272727,0.13636363636363635,0.9433686002981052,0.5943488486110968,0.6557991402346982,0.9592995551907598,339.07928357142856,-0.6707978714285714,-0.019871906049999978,0.23294585071428572,396.45636545454545,387.00928500000003,-2.868797431875,-1.23520676125,-2.3111280355625,-0.433192647875,0.245172941875,0.1837328954375,3.8636363636363638,2.6363636363636362,2.522727272727273,0.36363636363636365,0.10692673140641919,3.090909090909091,0.22727272727272727,0.6136363636363636,0,2,30,731.5,40.4,0.6,7.9
14,1,27,-0.8030434782608695,0.21739130434782608,1.633444157839093,0.5559943124082487,0.7959434257371253,0.73749132323362665,341.144375625,-1.3902333447058823,-0.5382666229411764,0.17106737294117647,359.90166666666664,372.7224983333333,-2.6638187272727274,-1.21631939,-2.3194134381818183,-0.4486525230769231,0.29729086636363633,0.18583737615384616,4.130434782608695,3.9565217391304346,2.8518518518518516,0.38461538461538464,-0.27354713164661104,2.6666666666666665,0.48148148148148145,0.7777777777777778,0,1,10,466.3,44.2,0.5,10.7
15,0,32,-0.35444444444444445,0.037037037037037035,1.192778928880437,0.40223733832811887,0.6050398450691576,1.1431653307264389,334.0152647368421,-1.104199527368421,-0.13176217,0.17406589857894736,417.6022222222222,372.21187375,-2.8003565357142857,-1.1256636605882353,-2.361049140714286,-0.32374509470588236,0.28111412714285716,0.17771939764705882,4,3.888888888888889,2.5,0.34375,0.4569846153742458,3.71875,0.34375,0.78125,0,3,41,725,40.8,0.9,8.4
16,1,14,-0.35,0,1.100695213330006,0.4438346070521953,0.7624198023310859,1.4611239174032333,342.67857285714285,-1.4135023871428571,-0.5993721942857143,0.17886155857142857,393.147998,385.4842842857143,-2.5389038362500003,-1.1789700948,-1.82208212125,-0.3816071675,0.21652547675,0.1829972875,4.25,3.75,3.4285714285714284,0.6428571428571429,0.5997361724532592,3.7857142857142856,0.21428571428571427,0.6428571428571429,0,2,19,1111.4,41.7,0.8,7.5
17,1,37,-0.7816666666666666,0.23333333333333334,1.0174777102346704,0.2082478597880625,0.4938665860926054,0.5339885710852559,338.47681954545453,-1.6432311386363636,-0.6908000745454546,0.15626342254545456,404.66624875,373.00477739130434,-2.428293135,-1.4437690408333332,-1.6596832885000001,-0.6204748935833333,0.1984760472,0.17529819616666667,4.733333333333333,3.966666666666667,2.8378378378378377,0.43243243243243246,0.3075186519053311,3.3513513513513513,0.2972972972972973,0.6756756756756757,0,2,18,714.9,45.4,0.8,10.1
18,1,15,-0.30666666666666664,0.08333333333333333,1.5484198875069337,0.604999423590783,0.614499940054155,1.2011594934314052,332.92286,-1.7051625285714287,-0.5771957942857143,0.12758356285714287,390.8875025,397.290003,-2.7637818,-1.5498606,-2.0321725533333335,-0.641384382,0.22780281855555556,0.160918027,5,3.6666666666666665,2.6666666666666665,0.5333333333333333,0.05287002494600909,3.2,0.26666666666666666,0.8666666666666667,0,1,9,444.3,49,1,6
19,1,37,-0.652,0.1,1.616225770484195,0.9147065004640416,1.2523170416102054,1.8151429505047334,330.26545636363636,-1.7880400333333333,-0.7196908808333333,0.14108647525,387.06856642857144,380.62800400000003,-2.4879233525,-1.2709286871428571,-1.8759369055,-0.5602010227857143,0.2372014295,0.19551115142857142,4.1,3,2.6216216216216215,0.4594594594594595,0.8278065467929874,4.027027027027027,0.32432432432432434,0.6486486486486487,0,1,13,519.4,42.1,0.3,10.4
20,1,10,-0.10285714285714286,0,1.1238253255311217,0.9479448680323758,1.3349256942934316,1.598598829947599,334.22714142857143,-1.2808980185714285,-0.45485007,0.17406957571428572,379.3874975,383.90286285714285,-2.5864988714285713,-1.0861896633333334,-1.9408220657142856,-0.33858159666666665,0.233675907,0.19107546333333333,4.571428571428571,2.857142857142857,4.6,0.1,-0.41205842323984454,2.3,0.3,0.9,0,1,4,263.7,37,0.7,7.7
21,0,12,0.20099999999999998,0.1,1.8535449561900805,0.6119347023156113,0.7766308299591633,0.814170287428725,334.71889,-1.790533,-0.748088999,0.1437376416,411.990002,387.91714,-2.824922142857143,-1.211629645,-2.3501918014285716,-0.45160194625,0.25743381857142855,0.18564738749999998,4.7,3.8,2.9166666666666665,0.4166666666666667,0.4399609701700283,3.5833333333333335,0.16666666666666666,0.75,0,1,3,531.9,43,1,3
